Event	ID	Name			Wwise Object Path	Notes
	3485819248	trigger_war			\ev_music\triggers\trigger_war	additional UI_war_stinger added to this event so that the stinger is part of the sfx.  Removed inclusion of trigger_war (as this is not directing the music system, ONLY this spot stinger)
	3561993834	mus_player_next_all			\ev_music\transport_controls\mus_player_next_all	
	3735002777	mus_skipsametrackproxy			\ev_music\logic\mus_skipsametrackproxy	
	4036275938	mus_harmonic_key_Eb			\ev_music\mus_harmonic_set\mus_harmonic_key_Eb	
	4053053553	mus_harmonic_key_Db			\ev_music\mus_harmonic_set\mus_harmonic_key_Db	
	4069831108	mus_harmonic_key_Gb			\ev_music\mus_harmonic_set\mus_harmonic_key_Gb	
	4103386286	mus_harmonic_key_Ab			\ev_music\mus_harmonic_set\mus_harmonic_key_Ab	
	4153719271	mus_harmonic_key_Bb			\ev_music\mus_harmonic_set\mus_harmonic_key_Bb	
	4219547688	negative			\ev_music\triggers\negative	
	4267681664	mus_harmonic_key_E			\ev_music\mus_harmonic_set\mus_harmonic_key_E	
	4267681665	mus_harmonic_key_D			\ev_music\mus_harmonic_set\mus_harmonic_key_D	
	4267681666	mus_harmonic_key_G			\ev_music\mus_harmonic_set\mus_harmonic_key_G	
	4267681667	mus_harmonic_key_F			\ev_music\mus_harmonic_set\mus_harmonic_key_F	
	4267681668	mus_harmonic_key_A			\ev_music\mus_harmonic_set\mus_harmonic_key_A	
	4267681670	mus_harmonic_key_C			\ev_music\mus_harmonic_set\mus_harmonic_key_C	
	4267681671	mus_harmonic_key_B			\ev_music\mus_harmonic_set\mus_harmonic_key_B	

Switch Group	ID	Name			Wwise Object Path	Notes
	583705497	mus_boredom			\Music\mus_boredom	
	2414167480	PlayerActionCounter			\Global\PlayerActionCounter	

Switch	ID	Name	Switch Group			Notes
	2381845804	boredom_high	mus_boredom			
	3931370606	boredom_low	mus_boredom			
	1095880218	action_high	PlayerActionCounter			
	2429361596	action_low	PlayerActionCounter			
	3596201607	action_medium	PlayerActionCounter			

State Group	ID	Name			Wwise Object Path	Notes
	1247407262	mus_systemType			\Music\mus_systemType	This should be an optional setting for the player in the music player, do they want dynamics, or just a random playlist with full mix or low intensity
	2384791228	Gamestate_startSequence			\Gamestate\Gamestate_startSequence	
	2534849910	PlayerCulturePrimary			\Culture\PlayerCulturePrimary	N.B. THE STRUCTURE FOR CULTURES WILL CHANGE! NOT A PERMANENT SOLUTION HERE /MW 231113
	2946097357	PlayerAtWar			\War\PlayerAtWar	
	3506536279	LocalContextCulture			\Culture\LocalContextCulture	

State	ID	Name	State Group			Notes
	748895195	None	mus_systemType			
	3827416997	mus_systemType_noMusic	mus_systemType			
	3829467356	mus_systemType_dynamic	mus_systemType			
	3939611117	mus_systemType_static_fullMix	mus_systemType			
	4172215883	mus_systemType_static_customMix	mus_systemType			
	20842036	loadingscreen_first	Gamestate_startSequence			
	748895195	None	Gamestate_startSequence			
	871352366	loadingscreen_second	Gamestate_startSequence			
	984691642	ingame	Gamestate_startSequence			
	2087420113	ending_game	Gamestate_startSequence			
	3604647259	mainmenu	Gamestate_startSequence			
	21176415	east_asian_sfx	PlayerCulturePrimary			
	588235174	european_sfx	PlayerCulturePrimary			
	748895195	None	PlayerCulturePrimary			
	881336927	african_sfx	PlayerCulturePrimary			
	1597889766	middle_east_sfx	PlayerCulturePrimary			
	1788697020	indian_sfx	PlayerCulturePrimary			
	1818634679	north_american_sfx	PlayerCulturePrimary			
	3383565261	south_american_sfx	PlayerCulturePrimary			
	748895195	None	PlayerAtWar			
	2452206122	False	PlayerAtWar			
	3053630529	True	PlayerAtWar			
	165558745	LocalContext_european	LocalContextCulture			
	748895195	None	LocalContextCulture			
	1250591351	LocalContext_middle_east	LocalContextCulture			
	1934661826	LocalContext_south_american	LocalContextCulture			
	1986058827	LocalContext_indian	LocalContextCulture			
	2120458266	LocalContext_african	LocalContextCulture			
	3473624948	LocalContext_east_asian	LocalContextCulture			
	4271650296	LocalContext_north_american	LocalContextCulture			

Game Parameter	ID	Name			Wwise Object Path	Notes
	466382286	mus_silence_speed			\Music\mus_silence_speed	
	1017241100	BoredomMeter			\Logic\BoredomMeter	
	2414167480	PlayerActionCounter			\Logic\PlayerActionCounter	

Modulator Time	ID	Name			Wwise Object Path	Notes
	72484483	mod_boredomTimer			\mod_music\mod_boredomTimer	

Trigger	ID	Name			Wwise Object Path	Notes
	1405224191	event_positive			\Default Work Unit\event_positive	
	1506639019	event_neutral			\Default Work Unit\event_neutral	
	2335153107	event_negative			\Default Work Unit\event_negative	

Effect plug-ins	ID	Name	Type				Notes
	10281767	Parametric EQ (Custom)	Wwise Parametric EQ			
	32537475	Parametric EQ (Custom)	Wwise Parametric EQ			
	52365276	Parametric EQ (Custom)	Wwise Parametric EQ			
	64634349	Parametric EQ (Custom)	Wwise Parametric EQ			
	73202097	Parametric EQ (Custom)	Wwise Parametric EQ			
	74215124	Parametric EQ (Custom)	Wwise Parametric EQ			
	86609574	Parametric EQ (Custom)	Wwise Parametric EQ			
	116723302	Parametric EQ (Custom)	Wwise Parametric EQ			
	119390711	Parametric EQ (Custom)	Wwise Parametric EQ			
	119840091	Parametric EQ (Custom)	Wwise Parametric EQ			
	172523482	Parametric EQ (Custom)	Wwise Parametric EQ			
	221881476	Parametric EQ (Custom)	Wwise Parametric EQ			
	238718035	Parametric EQ (Custom)	Wwise Parametric EQ			
	274000092	Parametric EQ (Custom)	Wwise Parametric EQ			
	275986009	Parametric EQ (Custom)	Wwise Parametric EQ			
	282019902	Parametric EQ (Custom)	Wwise Parametric EQ			
	287981356	Parametric EQ (Custom)	Wwise Parametric EQ			
	355172686	Parametric EQ (Custom)	Wwise Parametric EQ			
	355689442	Parametric EQ (Custom)	Wwise Parametric EQ			
	366247905	Parametric EQ (Custom)	Wwise Parametric EQ			
	376118400	Parametric EQ (Custom)	Wwise Parametric EQ			
	415141105	Parametric EQ (Custom)	Wwise Parametric EQ			
	424713606	Parametric EQ (Custom)	Wwise Parametric EQ			
	435524170	Parametric EQ (Custom)	Wwise Parametric EQ			
	435610723	Parametric EQ (Custom)	Wwise Parametric EQ			
	448258371	Parametric EQ (Custom)	Wwise Parametric EQ			
	486371547	Parametric EQ (Custom)	Wwise Parametric EQ			
	570061520	Parametric EQ (Custom)	Wwise Parametric EQ			
	582255998	Parametric EQ (Custom)	Wwise Parametric EQ			
	602431758	Parametric EQ (Custom)	Wwise Parametric EQ			
	611315392	Parametric EQ (Custom)	Wwise Parametric EQ			
	655959767	Parametric EQ (Custom)	Wwise Parametric EQ			
	703392058	Parametric EQ (Custom)	Wwise Parametric EQ			
	704145467	Parametric EQ (Custom)	Wwise Parametric EQ			
	727153013	RoomVerb (Custom)	Wwise RoomVerb			
	759839666	Parametric EQ (Custom)	Wwise Parametric EQ			
	821051057	Parametric EQ (Custom)	Wwise Parametric EQ			
	825736113	Parametric EQ (Custom)	Wwise Parametric EQ			
	875818011	Parametric EQ (Custom)	Wwise Parametric EQ			
	908767732	Parametric EQ (Custom)	Wwise Parametric EQ			
	948099059	Parametric EQ (Custom)	Wwise Parametric EQ			
	958997229	Parametric EQ (Custom)	Wwise Parametric EQ			
	1025212842	Parametric EQ (Custom)	Wwise Parametric EQ			
	1050004223	Parametric EQ (Custom)	Wwise Parametric EQ			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	727756844	Sine	Wwise Sine		\Actor-Mixer Hierarchy\Logic\StartupPlayerActionMaximizer\Sine	
	1071802883	Sine	Wwise Sine		\Actor-Mixer Hierarchy\Logic\boredomTimer\boredomTimer_on\Sine	

Streamed Audio	ID	Name	Audio source file	Generated audio file	Wwise Object Path	Notes
	3095668	mus_cue_pos_north_german_F	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\99. Event Cues\deccan\mus_cue_pos_deccan\mus_cue_pos_deccan_F_EB3E0685.wem	3095668.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\event_cues\03_positive\mus_cue_pos_F\mus_cue_pos_north_german_F	
	3724199	mus_handle_syrian_tune_noodle_05	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_syrian_tune_noodle\mus_handle_syrian_tune_noodle_05_2DFDE5D6.wem	3724199.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\syrian\mus_handle_syrian_tune_noodle_05\mus_handle_syrian_tune_noodle_05	
	4573022	mus_sol_aztec_2_full_2mx	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\95. Soloist Tracks\aztec\mus_sol_aztec_2_full_2mx_EB3E0685.wem	4573022.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\aztec\mus_sol_aztec_Mictlan\mus_sol_aztec_2_full_2mx	
	4587030	01C_Overture_I_Genesis_Loop_65bpm_Cmaj_culture	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\01. Overture (From Europa Universalis V) I. Genesis\01C Genesis Loop\01C_Overture_I_Genesis_Loop_65bpm_Cmaj_deccan_EB3E0685.wem	4587030.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_logo\01C_Overture_I_Genesis_Loop_65bpm_Cmaj\01C_Overture_I_Genesis_Loop_65bpm_Cmaj_culture	
	6725613	07_Jester_Speaks_the_Truth_78bpm_Emin_WW_SOLO	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\07. Jester Speaks the Truth\07_Jester_Speaks_the_Truth_78bpm_Emin_WW_SOLO_2DFDE5D6.wem	6725613.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\DYNAMIC_MIX_TRACKS\07_Jester_Speaks_the_Truth_78bpm_Emin\07_Jester_Speaks_the_Truth_78bpm_Emin_WW_SOLO	
	6761758	17_In_Your_Honor_60bpm_Amaj_STRINGS	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\17. In Your Honour\17_In_Your_Honor_60bpm_Amaj_STRINGS_2DFDE5D6.wem	6761758.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\war_dichotomy\mus_peace\17 In_Your_Honor_60bpm_Amaj\17_In_Your_Honor_60bpm_Amaj_STRINGS	
	7520371	mus_cue_neg_core_Bb	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\99. Event Cues\00_core_stems\mus_cue_neg_core\mus_cue_neg_core_Bb_EB3E0685.wem	7520371.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\event_cues\01_negative\mus_cue_neg_Bb\mus_cue_neg_core_Bb	
	11179618	26_Libera_Me_97_5bpm_Emin_iroquois_flute	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\96. Improvisations\iroquois\26_Libera_Me_97.5bpm_Emin_iroquois_flute_EB3E0685.wem	11179618.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\iroquois\26_Libera_Me_97_5bpm_Emin_iroquois_flute_01\26_Libera_Me_97_5bpm_Emin_iroquois_flute	
	11227950	mus_sol_chinese_Ambush_-_Act_7_-_The_Minor_Battle_at_Jiming_Mountain	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\95. Soloist Tracks\chinese\mus_sol_chinese_Ambush_-_Act_7_-_The_Minor_Battle_at_Jiming_Mountain_EB3E0685.wem	11227950.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\chinese\mus_sol_chinese_Ambush_-_Act_6-7_-_The_Minor_Battle_at_Jiming_Mountain_and_Jiuli_Mountain\mus_sol_chinese_Ambush_-_Act_7_-_The_Minor_Battle_at_Jiming_Mountain	
	12588130	06_For_the_Lost_Ones_70bpm_Fmin_STRINGS	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\06. For the Lost Ones\06_For_the_Lost_Ones_70bpm_Fmin_STRINGS_2DFDE5D6.wem	12588130.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\DYNAMIC_MIX_TRACKS\06_For_the_Lost_Ones_70bpm_Fmin\06_For_the_Lost_Ones_70bpm_Fmin_STRINGS	
	17712603	mus_cue_neg_core_A	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\99. Event Cues\00_core_stems\mus_cue_neg_core\mus_cue_neg_core_A_EB3E0685.wem	17712603.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\event_cues\01_negative\mus_cue_neg_A\mus_cue_neg_core_A	
	21437847	16_Pain_is_Salvation_90bpm_Bbmin_STRINGS_OD	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\16. Pain is Salvation\16_Pain_is_Salvation_90bpm_Bbmin_STRINGS_OD_2DFDE5D6.wem	21437847.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\war_dichotomy\mus_war\16 Pain_is_Salvation_90bpm_Bbmin\16_Pain_is_Salvation_90bpm_Bbmin_STRINGS_OD	
	25270624	mus_handle_north_german_keys_02	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_north_german_keys\mus_handle_north_german_keys_02_2DFDE5D6.wem	25270624.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\northgerman\mus_handle_north_german_keys_02\mus_handle_north_german_keys_02	
	26023733	mus_cue_pos_north_german_Bb	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\99. Event Cues\deccan\mus_cue_pos_deccan\mus_cue_pos_deccan_Bb_EB3E0685.wem	26023733.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\event_cues\03_positive\mus_cue_pos_Bb\mus_cue_pos_north_german_Bb	
	27646265	mus_handle_chinese_noise_01	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_chinese_noise\mus_handle_chinese_noise_01_2DFDE5D6.wem	27646265.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\chinese\mus_handle_chinese_noise_01\mus_handle_chinese_noise_01	
	27648411	07_Jester_Speaks_the_Truth_78bpm_Emin_ashanti_seperewa_v2	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\96. Improvisations\ashanti\07_Jester_Speaks_the_Truth_78bpm_Emin_ashanti_seperewa_v2_EB3E0685.wem	27648411.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\ashanti\07_Jester_Speaks_the_Truth_78bpm_Emin_ashanti_seperewa_v2\07_Jester_Speaks_the_Truth_78bpm_Emin_ashanti_seperewa_v2	
	31719368	mus_handle_chinese_noise_01	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_chinese_noise\mus_handle_chinese_noise_09_2DFDE5D6.wem	31719368.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\chinese\mus_handle_chinese_noise_01\mus_handle_chinese_noise_01	
	36138780	16_Pain_is_Salvation_90bpm_Bbmin_LO_PERC	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\16. Pain is Salvation\16_Pain_is_Salvation_90bpm_Bbmin_LO_PERC_2DFDE5D6.wem	36138780.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\DYNAMIC_MIX_TRACKS\16 Pain_is_Salvation_90bpm_Bbmin\16_Pain_is_Salvation_90bpm_Bbmin_LO_PERC	
	41758340	mus_sol_north_german_Danket_dem_Herrn_denn_er_ist_sehr_freundlich (Most Power)	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\95. Soloist Tracks\north_german\mus_sol_north_german_Danket_dem_Herrn_denn_er_ist_sehr_freundlich (Most Power)_EB3E0685.wem	41758340.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\northgerman\mus_sol_north_german_Danket_dem_Herrn_denn_er_ist_sehr_freundlich (Most Power)\mus_sol_north_german_Danket_dem_Herrn_denn_er_ist_sehr_freundlich (Most Power)	
	41872041	25_O_quam_gloriosum_90bpm_Emin_GAMBA	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\25. O quam gloriousum\25_O_quam_gloriosum_90bpm_Emin_GAMBA_2DFDE5D6.wem	41872041.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\DYNAMIC_MIX_TRACKS\25_O_quam_gloriousum_90bpm_Emin\25_O_quam_gloriosum_90bpm_Emin_GAMBA	
	44077214	17_In_Your_Honor_60bpm_Amaj_MIX	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\00. Full Mixes\17_In_Your_Honor_60bpm_Amaj_MIX_2DFDE5D6.wem	44077214.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\FULL_MIX_TRACKS\17_In_Your_Honor_60bpm_Amaj_MIX\17_In_Your_Honor_60bpm_Amaj_MIX	
	45436142	mus_cue_neg_core_G	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\99. Event Cues\00_core_stems\mus_cue_neg_core\mus_cue_neg_core_G_EB3E0685.wem	45436142.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\event_cues\01_negative\mus_cue_neg_G\mus_cue_neg_core_G	
	45657562	mus_cue_pos_north_german_E	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\99. Event Cues\north_german\mus_cue_pos_north_german\mus_cue_pos_north_german_E_EB3E0685.wem	45657562.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\event_cues\03_positive\mus_cue_pos_E\mus_cue_pos_north_german_E	
	45829364	mus_cue_pos_north_german_E	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\99. Event Cues\chinese\mus_cue_pos_chinese\mus_cue_pos_chinese_E_EB3E0685.wem	45829364.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\event_cues\03_positive\mus_cue_pos_E\mus_cue_pos_north_german_E	
	46381282	06_For_the_Lost_Ones_70bpm_Fmin_WW_ENS	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\06. For the Lost Ones\06_For_the_Lost_Ones_70bpm_Fmin_WW_ENS_2DFDE5D6.wem	46381282.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\war_dichotomy\mus_peace\06_For_the_Lost_Ones_70bpm_Fmin\06_For_the_Lost_Ones_70bpm_Fmin_WW_ENS	
	49843613	08_The Rise_of_An_Empire_97_5bpm_Dmin_aztec_ocarinas	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\96. Improvisations\aztec\08_The Rise_of_An_Empire_97.5bpm_Dmin_aztec_ocarinas_EB3E0685.wem	49843613.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\aztec\08_The Rise_of_An_Empire_97_5bpm_Dmin_aztec_ocarinas_02\08_The Rise_of_An_Empire_97_5bpm_Dmin_aztec_ocarinas	
	50166917	23_Peace_of_Westphalia_57bpm_Emin_STRINGS	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\23. Peace of Westphalia\23_Peace_of_Westphalia_57bpm_Emin_STRINGS_2DFDE5D6.wem	50166917.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\war_dichotomy\mus_peace\23_Peace_of_Westphalia_57bpm_Emin\23_Peace_of_Westphalia_57bpm_Emin_STRINGS	
	51583817	25_O_quam_gloriosum_90bpm_Emin_PLUCKED	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\25. O quam gloriousum\25_O_quam_gloriosum_90bpm_Emin_PLUCKED_2DFDE5D6.wem	51583817.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\DYNAMIC_MIX_TRACKS\25_O_quam_gloriousum_90bpm_Emin\25_O_quam_gloriosum_90bpm_Emin_PLUCKED	
	57611611	mus_handle_deccan_noise_01	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_deccan_noise\mus_handle_deccan_noise_05_2DFDE5D6.wem	57611611.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\decca\mus_handle_deccan_noise_01\mus_handle_deccan_noise_01	
	57709278	New Random Music Track	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_ashanti_drum_noodle\mus_handle_ashanti_drum_noodle_02_2DFDE5D6.wem	57709278.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\ashanti\mus_handle_ashanti_drum_noodle_01\New Random Music Track	
	57917703	mus_handle_chinese_tune_04	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_chinese_tune\mus_handle_chinese_tune_04_2DFDE5D6.wem	57917703.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\chinese\mus_handle_chinese_tune_04\mus_handle_chinese_tune_04	
	58457044	mus_handle_deccan_plectrumstring_01	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_deccan_plectrumstring\mus_handle_deccan_plectrumstring_14_2DFDE5D6.wem	58457044.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\decca\mus_handle_deccan_plectrumstring_01\mus_handle_deccan_plectrumstring_01	
	59782221	mus_sol_syrian_Bellathi_Askara	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\95. Soloist Tracks\syrian\mus_sol_syrian_Bellathi_Askara_EB3E0685.wem	59782221.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\syrian\mus_sol_syrian_Bellathi_Askara\mus_sol_syrian_Bellathi_Askara	
	63705753	mus_sol_syrian_Al_Maya	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\95. Soloist Tracks\syrian\mus_sol_syrian_Al_Maya_EB3E0685.wem	63705753.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\syrian\mus_sol_syrian_Al_Maya\mus_sol_syrian_Al_Maya	
	64711713	01A_Overture_I_Genesis_Stinger_65bpm_Cmaj_MIX	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\00. Full Mixes\01A_Overture_I_Genesis_Stinger_65bpm_Cmaj_MIX_2DFDE5D6.wem	64711713.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\FULL_MIX_TRACKS\01A_Overture_I_Genesis_Stinger_65bpm_Cmaj_MIX\01A_Overture_I_Genesis_Stinger_65bpm_Cmaj_MIX	
	66740830	mus_handle_deccan_plectrumstring_01	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_deccan_plectrumstring\mus_handle_deccan_plectrumstring_15_2DFDE5D6.wem	66740830.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\decca\mus_handle_deccan_plectrumstring_01\mus_handle_deccan_plectrumstring_01	
	68936895	New Random Music Track	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_ashanti_drum_noodle\mus_handle_ashanti_drum_noodle_01_2DFDE5D6.wem	68936895.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\ashanti\mus_handle_ashanti_drum_noodle_01\New Random Music Track	
	69753041	New Random Music Track	E:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Music\98. Handling\mus_handle_ashanti_move_seperewa\mus_handle_ashanti_move_seperewa_03_2DFDE5D6.wem	69753041.wem	\Interactive Music Hierarchy\Default Work Unit\mus_system_main\mus_system_type\mus_inGame_dynamic\mus_soloists\ashanti\mus_handle_ashanti_move_seperewa_01\New Random Music Track	
